channel_id,model,anomaly_type,n_test_windows,test_anomaly_rate,f1,precision,recall,auc_roc,false_alarm_rate_per_1000,threshold,f1_pa,precision_pa,recall_pa,false_alarm_rate_per_1000_pa
P-1,lstm,contextual,8476,0.0886,0.0724,0.0984,0.0573,0.4642,51.0,1.963404,0.7922,0.6559,1.0,51.0
P-1,iforest,contextual,8476,0.0886,0.0926,0.1101,0.0799,0.4885,62.78,0.457773,0.7559,0.6076,1.0,62.78
P-1,svm,contextual,8476,0.0886,0.0569,0.0764,0.0453,0.4941,53.2,280.299161,0.4201,0.4292,0.4115,53.2
S-1,lstm,point,7302,0.0614,0.0109,0.0139,0.0089,0.6493,41.29,1.975312,0.76,0.6129,1.0,41.29
S-1,iforest,point,7302,0.0614,0.0,0.0,0.0,0.2966,23.05,0.455294,0.0,0.0,0.0,23.05
S-1,svm,point,7302,0.0614,0.0,0.0,0.0,0.4963,32.97,313.198466,0.0,0.0,0.0,32.97
E-2,lstm,point,8503,0.1644,0.0282,0.0661,0.0179,0.5413,49.68,1.691906,0.8879,0.7984,1.0,49.68
E-2,iforest,point,8503,0.1644,0.0,0.0,0.0,0.4193,32.23,0.46335,0.0,0.0,0.0,32.23
E-2,svm,point,8503,0.1644,0.0,0.0,0.0,0.4549,29.7,325.087693,0.0,0.0,0.0,29.7
E-5,lstm,point,8265,0.0388,0.0803,0.0593,0.1246,0.5628,79.93,1.806394,0.5027,0.3358,1.0,79.93
E-5,iforest,point,8265,0.0388,0.0771,0.1105,0.0592,0.3882,19.26,0.47226,0.8075,0.6772,1.0,19.26
E-5,svm,point,8265,0.0388,0.153,0.1732,0.1371,0.3718,26.44,328.452517,0.7535,0.6045,1.0,26.44
G-6,lstm,point,8611,0.0117,0.0512,0.0277,0.3366,0.7463,140.31,0.090001,0.1447,0.078,1.0,140.31
G-6,iforest,point,8611,0.0117,0.0,0.0,0.0,0.8405,20.33,0.538412,0.0,0.0,0.0,20.33
G-6,svm,point,8611,0.0117,0.0,0.0,0.0,0.8804,16.33,502.637795,0.0,0.0,0.0,16.33
E-9,lstm,point,8273,0.0424,0.0669,0.0656,0.0684,0.3736,43.17,1.551789,0.6724,0.5065,1.0,43.17
E-9,iforest,point,8273,0.0424,0.0823,0.1106,0.0655,0.5266,23.35,0.456722,0.7914,0.6549,1.0,23.35
E-9,svm,point,8273,0.0424,0.1462,0.1753,0.1254,0.5547,26.13,325.364555,0.7723,0.629,1.0,26.13
E-1,lstm,contextual,8487,0.0599,0.2811,0.184,0.5945,0.7368,167.82,1.815804,0.4314,0.275,1.0,167.82
E-1,iforest,contextual,8487,0.0599,0.0161,0.0254,0.0118,0.4918,28.83,0.476582,0.0806,0.1188,0.061,28.83
E-1,svm,contextual,8487,0.0599,0.0,0.0,0.0,0.229,29.58,325.794955,0.0,0.0,0.0,29.58
E-11,lstm,contextual,8485,0.0348,0.2442,0.1425,0.8542,0.9119,185.23,1.808285,0.28,0.1628,1.0,185.23
E-11,iforest,contextual,8485,0.0348,0.094,0.1055,0.0847,0.7361,25.89,0.476947,0.1828,0.1939,0.1729,25.89
E-11,svm,contextual,8485,0.0348,0.0,0.0,0.0,0.6347,27.72,327.392,0.0,0.0,0.0,27.72
E-13,lstm,contextual,8611,0.0307,0.036,0.0284,0.0492,0.5335,53.31,1.691131,0.5427,0.3724,1.0,53.31
E-13,iforest,contextual,8611,0.0307,0.0693,0.0479,0.125,0.3871,78.59,0.458992,0.3902,0.2537,0.8447,78.59
E-13,svm,contextual,8611,0.0307,0.0,0.0,0.0,0.3807,43.13,389.084616,0.0,0.0,0.0,43.13
